business_id,birank_score,rank
ytynqOUb3hjKeJfRj5Tshw,0.0001175226231049566,1
Y2Pfil51rNvTd_lFHwzb_g,0.00011752262310495345,2
8uF-bhJFgT4Tn6DTb27viA,0.00011752262310495108,3
hfbZ97Te3T4jeWN6GgsGrQ,0.00011752262310495097,4
vN6v8m4DO45Z4pp8yxxF_w,0.00011752262310495034,5
PGd06nrseC2YAIqP6S9gUA,0.00011752262310495007,6
UeYZgcORV2Veo_BZzdiaTg,0.00011752262310494999,7
EQ-TZ2eeD_E0BHuvoaeG5Q,0.00011752262310494994,8
Ih6_y2nnbg2Jw9Qdc876GA,0.00011752262310494992,9
sr-5EY6bmp4jINhea06MjA,0.00011752262310494978,10
pWuoHHu0LuVrD0HjadDygg,0.00011752262310494972,11
eJaeTZlIdM3HWCq__Ve4Wg,0.00011752262310494971,12
fCDMLD21ypv1XZ_EyafCkQ,0.0001175226231049497,13
K3RURR9lIEE4JjOaPt99zg,0.00011752262310494964,14
SYHDOHRNAH-2xsw3XB5qbg,0.00011752262310494959,15
FEXhWNCMkv22qG04E83Qjg,0.00011752262310494956,16
-cEFKAznWmI0cledNOIQ7w,0.00011752262310494949,17
5oX4G1cptixPZecih9L3dg,0.00011752262310494949,18
I6L0Zxi5Ww0zEWSAVgngeQ,0.00011752262310494938,19
iUZEGx29miZObLd6_lt7Vg,0.00011752262310494934,20
mRpk0A4u0hnF0lNe1h4hGg,0.0001175226231049493,21
QFh-h_OZ5Io-mBk32HN28A,0.00011752262310494926,22
gGmqCZtOAUUqWLUJiL-Ydg,0.00011752262310494925,23
al3Ri6TEqa2rBzjHsn0T_g,0.00011752262310494923,24
FryXEasH74MQDnj5Bvz3QA,0.00011752262310494923,25
qUH2FppY7RL96F5tXzA0hQ,0.00011752262310494923,26
Ipkx4Sa7ybn8C6LtTqTztw,0.00011752262310494913,27
lu2UpRHLBZfvLG_caNEHKQ,0.00011752262310494908,28
f9qNygjcQvh2vPmZSfEvqg,0.00011752262310494907,29
