business_id,total_visits,unique_users,repeat_users,revisit_rate,temporal_stability,gini_user_contribution,top_user_share,weekly_visit_mean,weekly_visit_std,stability_cv,seasonal_variance,repeat_user_count,repeat_user_rate,avg_user_repeat_visits,total_checkins,checkin_burstiness,peak_hour_entropy,weekday_ratio,temporal_stability_cv,visit_velocity_recent,growth_trend,lunch_dinner_ratio,late_night_ratio,peak_hour_mode
-0__F9fnKt8uioCKztF5Ww,160,66,0,0.0,0.5919474347450542,0.0,0.00625,1.6842105263157894,1.1037957517539854,0.6553787276039289,35.63398692810457,0,0.0,0.0,94.0,0.39621411759367453,3.448412866067911,0.6063829787234043,0.629045840442396,0.02127659574468085,-0.06543385490753911,0.11702127659574468,0.5851063829787234,1.0
-0eUa8TsXFFy0FCxHYmrjg,61,26,2,0.0769230769230769,0.6669436619741939,0.0659340659340659,0.0327868852459016,1.2708333333333333,0.4942039949782703,0.3888818321140488,5.629166666666666,2,0.0769230769230769,2.0,33.0,0.17141982574219336,2.891801318156715,0.7878787878787878,0.23459582368351306,0.0,-5.265879958696394e-18,0.6666666666666666,0.06060606060606061,17.0
-0epFLgYq2C1Jo_W4FOBKw,39,15,2,0.1333333333333333,0.6889373581839594,0.1481481481481481,0.0769230769230769,1.1470588235294117,0.3594906279535709,0.3134020859082413,1.8455882352941175,2,0.1333333333333333,2.5,21.0,0.21295885499998002,2.7247198033190516,0.6190476190476191,0.21295885499998002,0.0,-0.0030959752321981426,0.5714285714285714,0.0,14.0
-0gRYq5UjMtZbELj0KHxzA,424,128,5,0.0390625,0.4892550030566273,0.0361254699248121,0.0047169811320754,2.2795698924731185,2.1604083267595224,0.9477262942860168,281.34782608695645,5,0.0390625,2.0,291.0,0.3430075035914043,3.6700092537884266,0.6872852233676976,0.8440129912413558,0.03436426116838488,-0.11956636700158646,0.4742268041237113,0.08247422680412371,14.0
-0iIxySkp97WNlwK66OGWg,682,219,11,0.0502283105022831,0.5442901116139153,0.0576557508769868,0.0073313782991202,2.75,2.085713889571098,0.7584414143894901,415.89173789173793,11,0.0502283105022831,2.272727272727273,449.0,0.4551884775757712,3.038868336700073,0.5167037861915368,0.7545235038963569,0.0200445434298441,-0.20198877734091691,0.45657015590200445,0.026726057906458798,16.0
-2BDt9OdGiBONysWCdKgNg,61,16,1,0.0625,0.7038685284903335,0.0551470588235294,0.0327868852459016,1.1090909090909091,0.3146266024828463,0.2836797235501073,0.9988505747126436,1,0.0625,2.0,44.0,0.14903269373413638,3.919103493391449,0.6590909090909091,0.24567540568538337,0.0,-0.0006565269723164459,0.45454545454545453,0.11363636363636363,12.0
-2dvQxx3cYXd5XmFdDDsDA,65,27,0,0.0,0.6742833263931575,0.0,0.0153846153846153,1.25,0.5899484856207994,0.4719587884966395,5.654411764705882,0,0.0,0.0,38.0,0.0,3.7576856586254084,0.7105263157894737,0.261605327235636,0.05263157894736842,-0.0027367268746579096,0.47368421052631576,0.10526315789473684,15.0
-3-6BB10tIWNKGEF0Es2BA,388,133,7,0.0526315789473684,0.7176237981504434,0.0473684210526315,0.0051546391752577,5.388888888888889,3.014311196190671,0.5593567168188874,710.9523809523811,7,0.0526315789473684,2.0,248.0,0.540128777642293,3.4174375143869886,0.5483870967741935,0.5874395185921607,0.3467741935483871,-0.2009803921568627,0.23387096774193547,0.3709677419354839,2.0
-34c4hcDPIInTROr8Xtxtw,71,30,0,0.0,0.5928244877446112,0.0,0.0140845070422535,1.4791666666666667,0.9450787051168004,0.6389264485296678,16.1,0,0.0,0.0,41.0,0.30796348144925934,3.39059583598164,0.7317073170731707,0.629823358339135,0.17073170731707318,-0.15735294117647058,0.3170731707317073,0.5121951219512195,1.0
-3dkEoYgH8AlUtBMZvzUfg,170,18,2,0.1111111111111111,0.5439576668753695,0.1296296296296295,0.0176470588235294,1.3492063492063493,0.7078695960975899,0.5246562888723313,18.65806451612903,2,0.1111111111111111,2.5,149.0,0.0816478191986338,3.9539966847028443,0.7516778523489933,0.490300895878505,0.013422818791946308,-0.057932759099749924,0.5704697986577181,0.09395973154362416,12.0
-4jxTEaNONDDsC0Xzzp1UQ,173,23,2,0.0869565217391304,0.5406124363613554,0.0730434782608695,0.0115606936416184,1.453781512605042,0.8103974664037545,0.5574410318037387,26.075384615384618,2,0.0869565217391304,2.0,148.0,0.16045214429777954,3.259208062871607,0.9864864864864865,0.48739136716873893,0.0,0.03397129186602871,0.4864864864864865,0.02702702702702703,14.0
-6TttC-1-rf5gC0QHWrs_w,108,31,3,0.0967741935483871,0.6299800908430209,0.1050691244239632,0.0277777777777777,1.173913043478261,0.3811116087047685,0.3246506296373954,5.392045454545454,3,0.0967741935483871,2.3333333333333335,73.0,0.19561386911624853,3.508825171278207,0.589041095890411,0.3178992509850232,0.0,0.009715588363004775,0.3424657534246575,0.0136986301369863,15.0
-6kIZWnXPuDC6JiQJ-A1fg,544,39,2,0.0512820512820512,0.5660198173442832,0.0462789243277048,0.0036764705882352,1.7836065573770492,1.0998176176358163,0.6166256863583162,67.16908212560385,2,0.0512820512820512,2.0,503.0,0.27019353870416896,3.9007863040649067,0.6302186878727635,0.6112102516295338,0.0,-0.018732941221696844,0.36182902584493043,0.1610337972166998,16.0
-6nQZ-QCkAyNHdtaxOxDpQ,266,79,3,0.0379746835443038,0.6137758142516934,0.0351960481630131,0.0075187969924812,1.9850746268656716,1.20140941433598,0.6052212839136141,82.91666666666667,3,0.0379746835443038,2.0,184.0,0.3770775782249589,3.3737840266930865,0.5815217391304348,0.627836688760653,0.0,-0.05426356589147287,0.5760869565217391,0.059782608695652176,17.0
-7CqBmK0zxwyjEqa3LBVSw,127,35,0,0.0,0.5949515397421754,0.0,0.0078740157480314,1.2211538461538465,0.5566322236560222,0.455824813072648,7.906827880512095,0,0.0,0.0,92.0,0.14500893333812256,3.375404082071843,0.7608695652173914,0.4040371477267668,0.010869565217391304,-0.005644811115935736,0.31521739130434784,0.33695652173913043,2.0
-7Rx5jVeQmlVoAU_oXrzew,27,11,0,0.0,0.8411471879558959,0.0,0.037037037037037,1.0,0.0,0.0,0.45,0,0.0,0.0,16.0,0.0,2.577819531114783,0.625,0.0,0.0625,0.0,0.75,0.25,18.0
-7qO7OvcQS7t6v6uHxDAxw,31,6,0,0.0,0.6179820889696458,0.0,0.032258064516129,1.24,0.5972157622389639,0.4816256147088418,5.163636363636362,0,0.0,0.0,25.0,0.0,2.563215692534584,0.84,0.41145502560454655,0.0,0.045454545454545456,0.32,0.44,22.0
-85kJMtb9wqNWDT8yLbitw,433,34,2,0.0588235294117647,0.5184549303147487,0.0522875816993464,0.0046189376443418,1.69140625,1.1421017669535545,0.6752379961665357,84.82331174838112,2,0.0588235294117647,2.0,397.0,0.2829183944935798,3.8434834750291027,0.7556675062972292,0.6776371796081926,0.010075566750629723,-0.04216086960663827,0.5037783375314862,0.14105793450881612,20.0
-8_ufROuDzIWxFAny4FasQ,23,16,0,0.0,0.6955691597467585,0.0,0.0434782608695652,1.15,0.3663475485325232,0.318563085680455,1.788888888888889,0,0.0,0.0,7.0,0.0,1.8423709931771088,0.7142857142857143,0.34992710611188255,0.0,0.0,0.5714285714285714,0.0,13.0
