business_id,pseudo_birank_score,cold_start_threshold,score_source
-H6s1c2NRic5UKxXqi4FdQ,5.201446330227726e-05,20,cold_start
-P0cVKNzgqsqBsKkwngvpA,3.5431328854590274e-05,20,cold_start
-RzbRfPnKcwTixtokN-p6A,3.602700001666106e-05,20,cold_start
-SFSt3FkjGfavnyMpHsZPA,3.061122909413656e-05,20,cold_start
-Zb5_s9g-Jo5j4ntcvHK6Q,2.976820978336187e-05,20,cold_start
-bmzEhftbyGVuUQV9FIxmg,2.9646288457635064e-05,20,cold_start
-fCB9irkaglTWG7rBhcODg,6.61589975379933e-05,20,cold_start
-fvncmHOAGh4YSiTbCuqCQ,3.786915664000156e-05,20,cold_start
-mc0GB26tKLQhxKpuR3xUw,7.401240072473981e-06,20,cold_start
-rW8eTXkovH1NksTZzJ7Yg,4.4097851489305356e-05,20,cold_start
-tdKOhrg4dB3xz1tEYujLw,5.852090432014096e-05,20,cold_start
0-fNOKL8IQBVe97Xx593KA,2.7467442636218253e-05,20,cold_start
03YfclexPdS_yrIbU6ahaA,1.9958188644132742e-05,20,cold_start
0784txBW2zSqStI7Xzw6GQ,3.165896329988087e-05,20,cold_start
0ACFnKVLuLhAWU6NOic6JA,3.898070147379275e-05,20,cold_start
0FQKOh13Tkcfgbu6qeZtXA,2.378423687435003e-05,20,cold_start
0JGG50I4c9iAPrk7H8dRcg,2.780690331344591e-05,20,cold_start
0NsAFbMqOcyaeAvGiwo1NQ,1.849025326991652e-05,20,cold_start
0VPTpRg_99ZoQyYuf4sntg,4.9025208434825103e-05,20,cold_start
0_GkFTdRWeKyeI5O8ROmnA,2.5057541580883337e-05,20,cold_start
0c9jXm3tggwKsszKFJhylw,4.573610884126111e-05,20,cold_start
0h2g0Xv5ZNSQedhR9R2xLQ,6.387344004754681e-05,20,cold_start
0jDPdf7kIkjZuNDNVH8Qew,3.1270815255051764e-05,20,cold_start
0liks45enqVRV3_ORP2wng,2.6647987797200062e-05,20,cold_start
0qMuzRkFDNO-8OBZf3Yi3w,1.0374160959332264e-05,20,cold_start
0v6_mSaPBuBAKevIpRp-jw,2.139867766675565e-05,20,cold_start
0xmV6WSKyq0SFUa_uZKocw,3.452478122783579e-05,20,cold_start
0zHKg3EAOwROEn8hnYRvUg,4.0386441380935696e-05,20,cold_start
11oJkLpheKBkgTfmE1mEDA,6.573693196656984e-05,20,cold_start
1DCUoKRe971ZReg1nk-QIw,3.184383002672889e-05,20,cold_start
1H-RURg-RoOuSDmwAmMhLA,3.8474476125832924e-05,20,cold_start
1JxSgUivApwcRYFnXw23cQ,3.799585747360347e-05,20,cold_start
1ODBqsrWYKcby46CHOYjRw,5.412767299325272e-05,20,cold_start
1PKvoJ-jtw1UcuzCVtoqiw,3.182717496506713e-05,20,cold_start
1QzXiy2fOUHXOSYxeZrcXA,2.8180117785487565e-05,20,cold_start
1VUeZg25PebLy9ZMVCddbQ,1.079880801801013e-05,20,cold_start
1bsQMS1SeLxcqXrJQYVfGQ,1.1261770640851014e-05,20,cold_start
1eLL2eTmHwbrC6w1VzMjGw,1.4970569013724365e-05,20,cold_start
1gusOUHcPCeorq8EHWZaKA,7.02000490299719e-05,20,cold_start
1kzNeQbACsnSGR0ubpsNbQ,1.9698968510668695e-05,20,cold_start
1z0anwqdzkcarPVk8zg4cQ,2.790222168649957e-07,20,cold_start
22DNKxXIMwjcYa1DFebfqA,6.248679759033214e-06,20,cold_start
22JMnG7XzPRJC0aj-ipHtg,2.124785072364673e-05,20,cold_start
27x17_lW-rawrzv367mpNA,7.239878024713465e-05,20,cold_start
2FSMRmpCjkbAY615yJp_Qg,3.323110203251087e-05,20,cold_start
2GligoW65tr0PY0NE72WSQ,5.543895388432144e-05,20,cold_start
2JK2p9X5FftFxNwbqWdkdA,2.6132286149301082e-05,20,cold_start
2MKTSjcis749QGzm0vwFXw,7.889644645631379e-06,20,cold_start
2PX8MOkN6cPG7-gte7IpIQ,2.5160131840635837e-05,20,cold_start
2SLtQI24J5Qwolxil-W-MA,1.1938567604210666e-05,20,cold_start
2TYaq5AfaFi8kv_eacQYrA,4.709827623664956e-05,20,cold_start
2TwEl4XCxOTuOJUNMXp3Kw,6.575963686225104e-05,20,cold_start
2WqDjTxf9IoeVU52XnLZaw,1.554887952013026e-05,20,cold_start
2XlnquSnBb1ayfsw3Lk71g,2.3577377325092136e-05,20,cold_start
2dVJ7R-3JMmu2v4DJYtBbw,6.218209404419903e-06,20,cold_start
2gWAivEMugrIdrl0aol8IQ,6.712262398357678e-06,20,cold_start
2juujWzR3Ac_TSmbTzWawQ,3.512204838054098e-05,20,cold_start
2kvPnK4DLK09KHvvwEj1xg,1.1959286052346466e-05,20,cold_start
2mBzfKvAM4kSU6Gm9WS7lg,4.437470161030299e-05,20,cold_start
2oHyI8snh5WtEh83gSczlg,4.1548845370004965e-05,20,cold_start
2rvRTXkBB_8b0TSQiNmr3w,3.118693311711284e-05,20,cold_start
2s1e-4t_35JfQBXAluqqzg,3.528273942850413e-05,20,cold_start
2u0mmUtcEdvgeioiGE730w,1.0881866457734831e-05,20,cold_start
2yhZklZm-4SmAVYRdPK4XQ,3.5334223589853186e-05,20,cold_start
31Wj0ypO-F83ca_Q8bboMw,1.493871356179202e-05,20,cold_start
33CbYOIye2dtQrfiVGjaRg,2.3670874352571023e-05,20,cold_start
36rXK3hy6OR0k-tMBf1Ltw,2.543026253028628e-05,20,cold_start
3ArvoGCDuPYIj-RIInT8Dw,5.117560801716306e-05,20,cold_start
3NueMBnZyyGdqVW4v2-uEw,2.8277300185753588e-05,20,cold_start
3OzjmMmkVydF75t8VeY73A,4.582968708317437e-05,20,cold_start
3TagDMAD_Ciy0_Sg3kJf2w,1.3170411765422788e-05,20,cold_start
3TroNo3SClF2vXc1OnC44A,5.7087509328965584e-05,20,cold_start
3WhSMPpreTgGt53lk7NY3g,1.2298964864365486e-05,20,cold_start
3bXofhF2Jc1bacUL3p-_Tg,3.2764014026034884e-05,20,cold_start
3jfSmj2DvdsNdJm5xrlK8w,3.5965873032760314e-05,20,cold_start
3kNwvKixMwe44dWvQd5PAQ,4.9187841274123676e-05,20,cold_start
3lLHM-cAPU5VwJC7u7581Q,4.705721915828142e-06,20,cold_start
3o7L6OWJzKnjTlwh-hkAhg,2.7650850729922995e-05,20,cold_start
3pLLTz_flVK3r2DFsX6tNA,1.0342752551770117e-05,20,cold_start
3pX1xcKcin65_-LdZu-kkA,2.5291069344671287e-05,20,cold_start
3wILhQIc2A7pip-M9MC5uQ,1.757321605737064e-05,20,cold_start
41LdicYBvhBYLmDdXhB21Q,5.088743198301158e-05,20,cold_start
45f_mcoZd3tU5VtUbHfr0g,2.4005423332104653e-05,20,cold_start
48zRWlrJVh1rcpTQCIRvJA,8.782254846825714e-06,20,cold_start
4DxbEns9iihpilbffdzvPQ,3.062646331509423e-05,20,cold_start
4INCRF2drQv6ivUZHkCIJA,3.596122220072876e-05,20,cold_start
4JSDGbEILb9GZcRsLHs1rQ,2.6799791327333263e-05,20,cold_start
4MiYEI_-zKyCXNlElbhC0g,3.58650759979372e-05,20,cold_start
4OmYeez1ArtXkHMYGijaOg,2.4038969841960128e-05,20,cold_start
4W87MOGiHIzRtSfdruD18g,1.281965821758343e-05,20,cold_start
4Y84551O9LXWL8cBVWRWEQ,4.960102382496531e-05,20,cold_start
4g5Jkyj-bJdFuo7PkMhO_Q,1.5931146785868325e-05,20,cold_start
4mSdL2rei9tsT8xwsV-BBA,5.146630922403468e-05,20,cold_start
4mYPqTpCjHqx8Ee4TIERXA,3.571444656679829e-05,20,cold_start
4oI4ikLPM6yDyw0QUrv53Q,1.2066824027245245e-05,20,cold_start
4pwP8B5BpUThYVkOzDOd8Q,3.731828439180597e-05,20,cold_start
4t3yeXmkrMaJruCWA0H8DA,1.7773715214300223e-05,20,cold_start
4t8ClQEmeDyyEfx-KupDwQ,4.185252917604978e-05,20,cold_start
4vml641OlDNYtl46Fg8cYw,3.095063111874957e-05,20,cold_start
4w6Z5v0uVt08oSBaA3342A,3.191956693452012e-05,20,cold_start
4y0DlszRtjZHvFSUYOvaxQ,1.0688575224395317e-05,20,cold_start
4yjg0NlNYjTwmrhIb5TqSg,9.553756028903427e-05,20,cold_start
4zyj8kBZoMrwAJ1e68cEMQ,4.005423658668105e-05,20,cold_start
516L9-ZWyqVgzqjP5uW7Jg,1.5851131956585014e-05,20,cold_start
51jium4RFWESPIPeu3fgAA,3.361198498167504e-05,20,cold_start
562EHk55n8A_Uo1katVcpw,3.0340489888478817e-05,20,cold_start
56AIvAU0yxOfVKPGwONjuA,2.8750407508663994e-05,20,cold_start
58OuqehnPxdFq8gWR_hBRw,5.003058651553971e-05,20,cold_start
594Hh8RZg__h6DV83cYMmQ,1.880014059913331e-05,20,cold_start
5GgCRUSQ4_ejE8YpjDYuEQ,1.1792825566313875e-05,20,cold_start
5TZsVq3kBcNB7NVXVjH4kQ,2.863066087876331e-05,20,cold_start
5YBvmgi0kFkyCTXj0AEFdQ,2.8347588026396962e-05,20,cold_start
5YKOs_VGFHgUv7DSMLaQeA,1.0881866457734831e-05,20,cold_start
5eJDmxZ8CJkgm57ioG6BwQ,1.2373437881564434e-05,20,cold_start
5eJcO6AGTntwC-KM3O4usA,1.8254713683174734e-05,20,cold_start
5r0Ikncb46GC3iK1lru1Hw,1.5810172005653003e-05,20,cold_start
5tSloJbLGvllqnn9neahLw,3.551823922703941e-05,20,cold_start
5wE4m3XzAAd1gDI6g7AuQA,1.8582037453392275e-05,20,cold_start
5wnGMB8tXhNvGcbhPJeeVw,2.0376150231596375e-05,20,cold_start
5y4o3Tx2eQhXsnUpgYFolQ,4.833270031897203e-05,20,cold_start
64jKdxGGwfHx4rutBBKWBQ,1.990719287688014e-05,20,cold_start
66Eb7k-oL3m3GGhyQRuFTQ,2.0659500839769993e-05,20,cold_start
68KD674p59qJj4DX6NuTzQ,2.761883668762182e-05,20,cold_start
694YRbhnl7NShhEt8OmiSg,1.4120331834884637e-05,20,cold_start
6B9wFMzNngXqa1ZZO2JWGg,1.0881866457734831e-05,20,cold_start
6FNfW_9YaP5Fm7tE1caLyA,2.8095072689423445e-05,20,cold_start
6Fk7Mlgy8msAC0NCgsun_g,3.838593243036301e-05,20,cold_start
6QFirGF9g14gSyfi_rmGOA,6.503518528115358e-05,20,cold_start
6RBrYMiAf8jFJI4fDoQpcw,2.2926345866407126e-05,20,cold_start
6bP0RhASi3WQuObr-FmTFw,5.362535860308992e-05,20,cold_start
6leRV7IyumdJq8KxScBqaQ,2.001134895221476e-05,20,cold_start
6lr3qkrqie9bqxl7DaYvTw,2.703663481874206e-05,20,cold_start
6tgrhfz8XsTH2ItEShoohA,2.2773950739801313e-05,20,cold_start
6yXQIqM6397s8VY0jutUFg,2.8867159655852015e-05,20,cold_start
6ymIJJ780dpKOyPJkhtDsg,1.5157230232148688e-05,20,cold_start
78lXlSJ2Vp3kw0Ds9dZsdw,3.493065639118107e-05,20,cold_start
7BMDF_d7in05n38QT8h2cw,4.5573799334820284e-05,20,cold_start
7Ycg7RgBswvQ8yQqHe7CYQ,5.981770905791994e-05,20,cold_start
7Z2Xr8yowbTILokoXQGU0w,4.0448020044074415e-05,20,cold_start
7_2O7S0_jpKAjQp-iETYXA,3.833027753575111e-05,20,cold_start
7dfl5-n6r_8EJVh811q9hQ,1.6882288334705245e-05,20,cold_start
7lHSyLOLuW0glxvjcvtBJA,2.3435439936512985e-05,20,cold_start
7lOXJ-SS0k8eK2fAgQG91w,2.9659957192027065e-05,20,cold_start
7o-p4IlitJ-SbSCZ84vHqQ,1.5446929958060192e-05,20,cold_start
7rsdqP_j5s-x2OnFv_TrIg,3.930637513913096e-05,20,cold_start
7tIkHJL_c_Yea62w5ZhLdQ,3.753182710782052e-05,20,cold_start
8AdQNUcZdcvxMDsrGQGMAg,2.4693725077492976e-05,20,cold_start
8BVWeJiwsP3TxUBovBF9Sg,2.2443161099292697e-05,20,cold_start
8D-7SxEW-HUOqp-TfM2oLA,5.388450177019798e-05,20,cold_start
8IV78gQwTH-eZgbfFS_plg,3.74870647019726e-06,20,cold_start
8WZh1nEW3BzsqGk_j73TFQ,3.052880213221678e-05,20,cold_start
8XMrbikOColypHMqLsJoxA,1.3247507841299368e-05,20,cold_start
8ZHMr31oBElXmaqSmZJs2Q,2.4512865519267664e-05,20,cold_start
8dZbYgJxNgKd9G3kHWmQ6w,3.6963896455686127e-06,20,cold_start
8jkCh4MKxS126H-ld-AFYw,2.4235879151448273e-05,20,cold_start
8xM8akbQhHDQdJO1sPMB1A,2.037070403609219e-05,20,cold_start
8xV1PeAKQ64uJUTrqqe34g,8.904193841706019e-06,20,cold_start
98JiQQWF-GXM-RcjT0AyNA,1.451033315505003e-05,20,cold_start
9Ekfby4OgzWs96RO8M4tnQ,5.894561096492437e-05,20,cold_start
9FNrCSiR6s5oYNyxGv4DtQ,3.712942150933733e-06,20,cold_start
9MHIC3BTGyE68EHD52XLCw,4.4354591471368224e-05,20,cold_start
9OkoIFBL8K8I7ejvZnrgUg,4.433638706614134e-05,20,cold_start
9P3pSXCxp5CzTq96qhTdGQ,4.9392528972877596e-05,20,cold_start
9SDMmYFtwSeQ7-ynEI2cgw,2.7198854581720892e-05,20,cold_start
9Udgv_7h8oj6NXq5hQeJow,1.8136444096224717e-05,20,cold_start
9ZcxmF09BwB7K2R_I0yU1g,2.2236155955184268e-05,20,cold_start
9dTadxqN5hvIVwnhpxlrDA,2.769352054193047e-05,20,cold_start
9fLkROUd4EcFlbf8NKzxbw,2.3871308673481014e-05,20,cold_start
9iFqDUOMifeoJ2v4z6U_Wg,5.1204064533820677e-05,20,cold_start
9iP-mvRp835QYWu68pTRkg,3.119430408971698e-05,20,cold_start
9mNXWpQJh0ydVgJKRhmwRg,1.9900561609963625e-05,20,cold_start
9nBqiimE6bGE1TSxlnDJ-A,1.5123030972227296e-05,20,cold_start
9nJLpVhr5EGMU9sdwMauUA,2.6713850982757117e-05,20,cold_start
9qFdMKd4LLrLt8AnQq1BnA,2.525561564172034e-05,20,cold_start
9tt8wDtWkXhRd6pYM2iOfA,2.3053692811798854e-05,20,cold_start
9ubQAHmhBHJ9GhDUzhAIjA,5.503333868932118e-05,20,cold_start
9xv_hrKXFRMndvtqSnD2fw,1.2876495552530018e-05,20,cold_start
9yhny3ODCDOAmMrNIOGJtg,3.83761031452324e-05,20,cold_start
A0uUOrjRVEmKmn-jt0KUAA,4.53486474298903e-05,20,cold_start
A1lAqN3SOaBLoo6NqVcy4Q,1.6399463724090865e-05,20,cold_start
A4HxaMk6EZlieG7jr6FB3w,8.22411768891182e-05,20,cold_start
