treated_id,control_id,treated_propensity,control_propensity,treated_outcome,control_outcome
-0eUa8TsXFFy0FCxHYmrjg,YpGSRLzkk8UOCVzd0Dpo3Q,0.5486241986555388,0.5486317556768016,0.0,0.0
-0epFLgYq2C1Jo_W4FOBKw,fDhdu4D4nsBC7h3i1mHaOA,0.5630162722228325,0.5630763221214363,0.0,0.0
-3dkEoYgH8AlUtBMZvzUfg,ivNaN2TmuoLKobiRHJCulg,0.5402658733234948,0.5402722106664749,0.0,0.0
-4jxTEaNONDDsC0Xzzp1UQ,vvtZWCcOw-wA9CF-79U0jw,0.5356165127605247,0.5356105373239219,0.0,0.0
-7CqBmK0zxwyjEqa3LBVSw,h6fI6-2x0lDpiDZJ3lb0mg,0.5295213414226487,0.5294986291031103,0.0,0.0
-7Rx5jVeQmlVoAU_oXrzew,yKVE6F2qqkVJpW55bWLmqQ,0.5769177014916097,0.5769177014916097,0.0,0.0
-7qO7OvcQS7t6v6uHxDAxw,2ZrmEwoZW7Na-JVH9dM_Ug,0.5830094619701813,0.5830094619701813,0.0,0.0
-85kJMtb9wqNWDT8yLbitw,GsDwQ9NzKu8eaAGFhkOtnQ,0.4823743366845471,0.4823545734255598,0.0952380952380952,0.0
-8uatt4iWxUproNMOd1srw,Hxmr7w2ufU4wsFeU68HnMQ,0.5478774792410378,0.5478850384614955,0.0,0.0
-AanHawaDlzWHQjrqRRWig,bDNBsMltPLACTkYFIBB0Mg,0.5074462990784618,0.5074521140575936,0.0,0.0
-BLVl824WRLFIm_uiHmkbA,5TzAmqzksrUBB2tdHDQAUA,0.4296622838893201,0.4295222403510643,0.0,0.0
-Bsw0AjWemVa8D_7g7-9Kg,U00LMGWuM4nf9TqxFU1vRw,0.5083817767013188,0.5084603746204912,0.0,0.0
-FSNRWP_3twzsH-qliHcZQ,BC-lnlxVEFFU49CUmikmAA,0.5729667690255161,0.5729389396786044,0.0,0.0
-H-El0POa4KEtmyDD4QvtA,uuEdVSddKBJ5CtStDifE3g,0.5616847270043854,0.5616847270043854,0.0,0.0
-JcSG0yNk06hpNWagOKj9g,jIuRCFtO7rEOezPAn7rCQg,0.5371454849641513,0.5371202916951991,0.0,0.0555555555555555
-Kro8CtHkk9Ge9MMDK8t7g,1rN5JlJuoJxHppuS49qxDQ,0.578430420486495,0.578430420486495,0.0,0.0
-Lz1eG1xyHk634wVzBD83g,GfKb7u9KLgp6OExvIHf_Cw,0.5590113834397018,0.5589624746235767,0.0,0.0
-M7wzxpUsdSkQd9PDGsJWA,Am_H8-XxtTfV34QmOuWcyQ,0.49958622097850397,0.4995228354651104,0.032258064516129,0.0
-MwKwvY0gG3GyR5ymxsLNQ,P0u1f6ea6LsyB8m1CXXyNw,0.564100501375015,0.5641144849939392,0.0,0.0
-P0cVKNzgqsqBsKkwngvpA,9iFqDUOMifeoJ2v4z6U_Wg,0.5825419581183792,0.5825419581183792,0.0,0.0
-QG6KSRQKTQ80--wqrnLTg,sW6AmF-EUVRoOCtd5FJyCg,0.5760621519322814,0.576048263548142,0.0,0.0
-QbbFXdiWQb2vKaDIky4Pw,AV--_bzb6m-RqUfk269DBA,0.5623785356497885,0.5623764268164371,0.0,0.0
-RZEK75brNtAA6QmDU365g,b3Tl3r8P4xWX0mAyESO1WQ,0.582862861827556,0.5828490349029001,0.0,0.0
-RkGrQUxlwgaR5By4p2tAQ,ey2XJjoyInbK3TL4x4k5fw,0.5687833431843268,0.5687475354868939,0.0,0.0
-RzbRfPnKcwTixtokN-p6A,EwYjw0AD5BrqART5kFr2_w,0.5875604480820151,0.5875604480820151,0.0,0.0
