business_id,popularity_visits,unique_users,repeat_user_rate,stability_cv
680315,355,345,0.028985507246376812,0.5143467479477829
680320,152,149,0.020134228187919462,0.4424889379148265
680325,42,41,0.024390243902439025,0.5235930288534653
680331,334,327,0.021406727828746176,0.5807223202039755
680359,324,313,0.03194888178913738,0.5786302264211275
680360,587,580,0.01206896551724138,0.58074283049589
680376,405,390,0.03333333333333333,0.5817886112849967
680380,685,671,0.01788375558867362,0.6441720028839141
680383,772,707,0.06789250353606789,0.6544681959679304
680393,552,539,0.022263450834879406,0.6107561554472613
680416,274,265,0.033962264150943396,0.49937767884013784
680417,179,169,0.03550295857988166,0.5142166017577594
680423,634,626,0.011182108626198083,0.6711375001364496
680437,446,426,0.03990610328638498,0.5862331653022198
680444,1021,966,0.039337474120082816,0.6651909939145249
680470,560,514,0.06809338521400778,0.5994077420284991
680479,906,858,0.05011655011655012,0.6271180830778399
680490,469,449,0.0400890868596882,0.5784677118370569
680501,5484,5298,0.02944507361268403,0.6981532036070708
694222,493,479,0.025052192066805846,0.6685550267014984
698013,125,124,0.008064516129032258,0.4032021825337755
698061,237,230,0.030434782608695653,0.4434592397703471
698082,163,160,0.01875,0.4878519674816095
698083,396,370,0.06486486486486487,0.5201214580580115
698174,397,381,0.031496062992125984,0.546811887892689
699656,137,137,0.0,0.7184740789702342
699985,144,142,0.014084507042253521,0.5240291186603396
700008,194,192,0.010416666666666666,0.511880503350798
700845,905,884,0.02262443438914027,0.9005736892564534
717810,332,326,0.018404907975460124,0.5107468720831279
717814,578,560,0.02857142857142857,0.5870847925724892
717832,1671,1612,0.03225806451612903,0.5520972472365415
717839,873,840,0.030952380952380953,0.6160535700922994
717849,285,265,0.05660377358490566,0.4552185241012288
717904,1345,1310,0.024427480916030534,0.8098784593370746
717906,941,920,0.021739130434782608,0.5989624547910833
717911,1292,1226,0.04730831973898858,0.6554871084837977
717921,1001,944,0.05402542372881356,0.6303566843574796
717951,373,360,0.03333333333333333,0.5193746692599223
717962,680,660,0.022727272727272728,0.6674978585228364
717970,202,195,0.035897435897435895,0.551821525128758
718485,1248,1147,0.05841325196163906,0.5855688874819143
718509,740,731,0.012311901504787962,0.6590313385310866
718512,161,140,0.06428571428571428,0.5096105522675312
718517,1632,1586,0.025851197982345524,0.6329271143723616
718520,418,392,0.05357142857142857,0.6253016348372437
718523,223,206,0.05339805825242718,0.4823630173732815
718530,422,414,0.016908212560386472,0.5480639248808202
718583,771,729,0.04663923182441701,0.6299540542316489
718584,374,364,0.024725274725274724,0.582030036142415
718591,430,417,0.02158273381294964,0.5736383623524879
718602,306,304,0.006578947368421052,0.5531418980410875
718926,252,243,0.037037037037037035,0.502538963060645
718986,493,475,0.031578947368421054,0.6035097980149887
719005,586,570,0.02631578947368421,0.6263618334124185
719025,478,468,0.021367521367521368,0.5700102673708868
719237,556,546,0.018315018315018316,0.614564706204175
719242,2155,2078,0.03224254090471607,0.6632342911368455
719246,272,267,0.0149812734082397,0.5074628428037814
719255,242,235,0.029787234042553193,0.46648218930496516
719268,589,558,0.043010752688172046,0.6133266678682584
719297,3729,3576,0.036353467561521254,0.6471338047249613
719305,1338,1296,0.03009259259259259,0.6244762927784907
719340,335,319,0.050156739811912224,0.4872083721520142
719346,94,94,0.0,0.32541650758696955
719353,178,174,0.022988505747126436,0.43019131344354344
719362,151,146,0.03424657534246575,0.4859159709508312
719370,312,303,0.0297029702970297,0.5205604507673671
719379,2365,2229,0.04755495737999103,0.5574579849925015
719389,737,701,0.047075606276747506,0.5153985156463244
719635,681,658,0.031914893617021274,0.6639225323030572
719657,829,769,0.05721716514954486,0.5869055379902981
719659,85,85,0.0,0.7385272885018036
719668,1602,1490,0.05704697986577181,0.5614044363977714
719674,1509,1450,0.03793103448275862,0.5512071184806696
719675,716,682,0.04105571847507331,0.5865369191744947
719681,302,279,0.06451612903225806,0.6079959200882418
719682,984,929,0.04413347685683531,0.5824727820546084
719686,214,201,0.05472636815920398,0.4475945965474283
719688,342,337,0.008902077151335312,0.8590486730091659
719699,806,768,0.0390625,0.6874330754961361
719710,642,622,0.027331189710610933,0.5922515964761209
719718,274,255,0.050980392156862744,0.5214181422316246
719734,293,286,0.024475524475524476,0.5879854329809266
719739,918,875,0.03314285714285714,0.6116799898678825
719959,636,620,0.024193548387096774,0.5507975421112042
719980,406,394,0.025380710659898477,0.5493078329375203
719989,375,369,0.016260162601626018,0.5364727072135675
720047,1537,1487,0.02757229320780094,0.6377306845247909
