persona_id,domain,archetype,age_group,occupation,occupation_label,city,loyalty_score,price_sensitivity,ndcg,hit_at_1,hit_at_3,hit_at_10,kendall_tau,stars_ndcg,stars_hit_at_1,stars_hit_at_3,pairwise_win,revisit_score,model_revisit_signal
S2-YM-TEC-COF-0372,coffee,Young Millennial (26-33) | Tech / Software,Young Millennial (26-33),Tech / Software,Backend Developer,Nashville,4,2,0.8177347082753549,0.0,0.0,1.0,-0.022222222222222223,0.8211395734199477,0.0,0.0,0,3.0,0.0203761755485893
S2-GZ-REM-RES-0325,restaurant,Gen Z (18-25) | Remote / Digital Nomad,Gen Z (18-25),Remote / Digital Nomad,Digital Marketer,Las Vegas,1,3,0.766081928974367,0.0,0.0,1.0,0.24444444444444444,0.7689819517623597,0.0,0.0,0,4.0,0.0074
S2-YM-TEC-HOT-0419,hotel,Young Millennial (26-33) | Tech / Software,Young Millennial (26-33),Tech / Software,Backend Developer,Phoenix,3,2,0.8902846940917363,1.0,1.0,1.0,0.06666666666666667,0.8007635018748921,0.0,0.0,0,4.0,0.0418781725888324
S2-SM-HEA-COF-0781,coffee,Senior Millennial (34-40) | Healthcare,Senior Millennial (34-40),Healthcare,Pharmacist,Pittsburgh,5,3,0.8005228372041286,0.0,0.0,1.0,-0.1111111111111111,0.8092732209164547,0.0,0.0,0,7.0,0.0351493848857645
S2-BO-LEG-HOT-1733,hotel,Boomer (57+) | Legal / Finance,Boomer (57+),Legal / Finance,Auditor,Indianapolis,5,1,0.8017286599449658,0.0,0.0,1.0,0.1111111111111111,0.7865417216733225,0.0,0.0,1,8.0,0.0138568129330254
S2-YM-HEA-HOT-0473,hotel,Young Millennial (26-33) | Healthcare,Young Millennial (26-33),Healthcare,Physician,Tampa,3,3,0.7791464354386698,0.0,0.0,1.0,-0.19999999999999998,0.7804682787788976,0.0,0.0,0,8.0,0.0386178861788617
S2-BO-HOS-COF-1818,coffee,Boomer (57+) | Hospitality / Service,Boomer (57+),Hospitality / Service,Event Coordinator,Tampa,5,4,0.7944216116083337,0.0,0.0,1.0,-0.19999999999999998,0.8425032287805441,0.0,0.0,0,4.0,0.0431818181818181
S2-SM-HEA-RES-0801,restaurant,Senior Millennial (34-40) | Healthcare,Senior Millennial (34-40),Healthcare,Pharmacist,Philadelphia,5,3,0.7156797386856552,0.0,0.0,1.0,-0.3333333333333333,0.7705150232046054,0.0,0.0,0,2.0,0.0076
S2-SM-LEG-RES-0876,restaurant,Senior Millennial (34-40) | Legal / Finance,Senior Millennial (34-40),Legal / Finance,Tax Consultant,Las Vegas,5,1,0.7689027057942774,0.0,1.0,1.0,0.1111111111111111,0.7538643746436937,0.0,0.0,0,8.0,0.0138
S2-SM-TEC-COF-0677,coffee,Senior Millennial (34-40) | Tech / Software,Senior Millennial (34-40),Tech / Software,Product Manager,Phoenix,5,2,0.8044700400714649,0.0,0.0,1.0,-0.15555555555555553,0.8179466937337593,0.0,0.0,0,3.0,0.0460093896713615
