business_id,popularity_visits,unique_users,gini_user_contribution,repeat_user_count,repeat_user_rate,avg_user_repeat_visits,weekly_visit_mean,weekly_visit_std,stability_cv,seasonal_variance
-0__F9fnKt8uioCKztF5Ww,160,66,0.0,0,0.0,0.0,1.6842105263157894,1.1037957517539854,0.6553787276039289,35.63398692810457
-0eUa8TsXFFy0FCxHYmrjg,61,26,0.06593406593406592,2,0.07692307692307693,2.0,1.2708333333333333,0.49420399497827033,0.3888818321140488,5.629166666666666
-0epFLgYq2C1Jo_W4FOBKw,39,15,0.14814814814814814,2,0.13333333333333333,2.5,1.1470588235294117,0.3594906279535709,0.3134020859082413,1.8455882352941178
-0gRYq5UjMtZbELj0KHxzA,424,128,0.03612546992481214,5,0.0390625,2.0,2.2795698924731185,2.1604083267595224,0.9477262942860168,281.34782608695645
-0iIxySkp97WNlwK66OGWg,682,219,0.05765575087698682,11,0.0502283105022831,2.272727272727273,2.75,2.085713889571098,0.7584414143894901,415.89173789173793
-2BDt9OdGiBONysWCdKgNg,61,16,0.05514705882352944,1,0.0625,2.0,1.1090909090909091,0.3146266024828463,0.2836797235501073,0.9988505747126437
-2dvQxx3cYXd5XmFdDDsDA,65,27,0.0,0,0.0,0.0,1.25,0.5899484856207994,0.4719587884966395,5.654411764705882
-3-6BB10tIWNKGEF0Es2BA,388,133,0.047368421052631504,7,0.05263157894736842,2.0,5.388888888888889,3.0143111961906714,0.5593567168188874,710.9523809523811
-34c4hcDPIInTROr8Xtxtw,71,30,0.0,0,0.0,0.0,1.4791666666666667,0.9450787051168004,0.6389264485296678,16.1
-3dkEoYgH8AlUtBMZvzUfg,170,18,0.12962962962962954,2,0.1111111111111111,2.5,1.3492063492063493,0.7078695960975899,0.5246562888723313,18.658064516129034
-4jxTEaNONDDsC0Xzzp1UQ,173,23,0.07304347826086954,2,0.08695652173913043,2.0,1.453781512605042,0.8103974664037545,0.5574410318037387,26.075384615384618
-6TttC-1-rf5gC0QHWrs_w,108,31,0.10506912442396321,3,0.0967741935483871,2.3333333333333335,1.173913043478261,0.3811116087047685,0.3246506296373954,5.392045454545454
-6kIZWnXPuDC6JiQJ-A1fg,544,39,0.04627892432770486,2,0.05128205128205128,2.0,1.7836065573770492,1.0998176176358163,0.6166256863583162,67.16908212560385
-6nQZ-QCkAyNHdtaxOxDpQ,266,79,0.03519604816301314,3,0.0379746835443038,2.0,1.9850746268656716,1.2014094143359801,0.6052212839136141,82.91666666666667
-7CqBmK0zxwyjEqa3LBVSw,127,35,0.0,0,0.0,0.0,1.2211538461538463,0.5566322236560222,0.45582481307264805,7.906827880512095
-7Rx5jVeQmlVoAU_oXrzew,27,11,0.0,0,0.0,0.0,1.0,0.0,0.0,0.45
-7qO7OvcQS7t6v6uHxDAxw,31,6,0.0,0,0.0,0.0,1.24,0.5972157622389639,0.48162561470884185,5.163636363636362
-85kJMtb9wqNWDT8yLbitw,433,34,0.05228758169934644,2,0.058823529411764705,2.0,1.69140625,1.1421017669535545,0.6752379961665357,84.82331174838112
-8_ufROuDzIWxFAny4FasQ,23,16,0.0,0,0.0,0.0,1.15,0.36634754853252327,0.31856308568045505,1.788888888888889
-8luB5pJ7d9UOoiF7wikkw,882,182,0.021209972822876066,3,0.016483516483516484,2.3333333333333335,2.1940298507462686,1.4096794630811982,0.6425069661662605,99.25797101449278
-8oD6dtRRUpkIFSkJ46UqA,13,13,0.0,0,0.0,0.0,1.0833333333333333,0.28867513459481287,0.2664693550105965,1.125
-8uatt4iWxUproNMOd1srw,66,26,0.06593406593406592,2,0.07692307692307693,2.0,1.5714285714285714,0.7696327012111162,0.48976626440707394,42.21978021978022
-9lL4yFBX_7XVqUr8cwytg,308,131,0.02187535604420665,3,0.022900763358778626,2.0,1.3218884120171674,0.6527738198704381,0.49381915594094833,15.083333333333336
-9rRsa_9GTkSYkPdKa7T8A,409,126,0.02979242979242991,4,0.031746031746031744,2.0,1.476534296028881,1.0582619619735467,0.7167202040749937,42.98152337858221
-9yzQQ0d_rcOD2CzdTNO_Q,74,20,0.0,0,0.0,0.0,1.2333333333333334,0.4645634607236648,0.3766730762624309,1.253968253968254
