user_id,total_visits,unique_venues,revisit_ratio,top1_venue_share,burstiness_index,active_span_days,venue_entropy
1000258,1,1,0.0,1.0,,0.0,0.0
1000444,1,1,0.0,1.0,,0.0,0.0
1000804,4,4,0.0,0.25,0.10711834762109657,0.10251157407407407,2.0
100133,82,32,0.6097560975609756,0.25609756097560976,0.3064590762149739,75.19643518518518,3.8918568487592036
1001371,23,15,0.34782608695652173,0.13043478260869565,0.13570080637282855,25.95196759259259,3.7294461949052566
1001481,12,10,0.16666666666666666,0.25,0.14230383356567136,1.120625,3.188721875540867
100158,6,6,0.0,0.16666666666666666,0.1264442787275059,308.2307523148148,2.584962500721156
1002026,2,2,0.0,0.5,,50.72667824074074,1.0
1002475,5,5,0.0,0.2,-0.14546765014155508,1.1771064814814816,2.321928094887362
10028,152,77,0.4934210526315789,0.15789473684210525,0.24096353406033458,450.3790046296296,5.281213150635693
1003031,1,1,0.0,1.0,,0.0,0.0
100309,71,31,0.5633802816901409,0.2535211267605634,0.16637792577831448,418.9019328703704,4.106116837205114
1003547,68,59,0.1323529411764706,0.058823529411764705,0.280872401116863,419.0009606481481,5.793345194191518
100419,213,74,0.6525821596244131,0.3286384976525822,0.47543529392728473,448.69747685185183,4.670898859372193
1005236,2,2,0.0,0.5,,176.92677083333334,1.0
100540,70,44,0.37142857142857144,0.3,0.453817894870661,160.02503472222222,4.629375111509004
100566,48,43,0.10416666666666667,0.08333333333333333,0.01185673552739008,400.03537037037034,5.334962500721157
100595,1,1,0.0,1.0,,0.0,0.0
1006219,6,4,0.3333333333333333,0.5,-0.09859932554415451,11.093842592592592,1.7924812503605778
1007066,109,60,0.44954128440366975,0.07339449541284404,0.45509199990364213,443.0675462962963,5.551639747399608
1007299,26,22,0.15384615384615385,0.15384615384615385,0.6328629932543537,155.30039351851852,4.315824333525707
1007347,2,2,0.0,0.5,,19.342997685185185,1.0
1008732,174,86,0.5057471264367817,0.08045977011494253,0.4027370715855999,352.20931712962965,5.776498436703638
