business_id,birank_fsq_score,name,city,state,stars,review_count
ytynqOUb3hjKeJfRj5Tshw,0.017231608176388396,Reading Terminal Market,Philadelphia,PA,4.5,5721
wz8ZPfySQczcPgSyd33-HQ,0.015484615272193327,Grand Sierra Resort and Casino,Reno,NV,3.0,3345
PY9GRfzr4nTZeINf346QOw,0.009647354460217137,Peppermill Reno,Reno,NV,4.0,2486
ve_-rPlEGPClytyJtY55Vw,0.006955025303614509,Nugget Casino Resort,Sparks,NV,2.5,1576
7Iv-6B0EH-yVo5o_VnykWw,0.006429548365033289,The National WWII Museum,New Orleans,LA,4.5,1637
Eb1XmmLWyt_way5NNZ7-Pw,0.006404351655547249,Louis Armstrong New Orleans International Airport  MSY,Kenner,LA,3.0,1789
ORL4JE6tz3rJxVqkdKfegA,0.006192298436601727,Gaylord Opryland Resort & Convention Center,Nashville,TN,3.0,1639
-OKB11ypR4C8wWlonBFIGw,0.005859286298825811,Atlantis Casino Resort Spa,Reno,NV,3.5,1218
-QI8Qi8XWH3D8y8ethnajA,0.005827117939510022,Philadelphia International Airport - PHL,Philadelphia,PA,2.5,2149
ld_H5-FpZOWm_tkzwkPYQQ,0.005826883149121531,Silver Legacy Resort Casino,Reno,NV,3.0,1534
UUpwoAAZcJyUWOqp81_3mA,0.005714970942442152,Cajun Encounters Tour Company,New Orleans,LA,4.5,1210
c_4c5rJECZSfNgFj7frwHQ,0.005577415163321475,Tampa International Airport,Tampa,FL,4.0,1849
8A5LSwsKK5vXDH1M3_Tf1w,0.005436592604702091,"The Ritz-Carlton Bacara, Santa Barbara",Santa Barbara,CA,3.5,1383
nk96iwJV1_p2HECYQW1ysA,0.005108828898381006,French Quarter Phantoms,New Orleans,LA,4.5,1481
oOSMOJptLRbmEDjp0YnEPw,0.004913591078634169,Witches Brew Tours,New Orleans,LA,4.5,933
hy-E7DdXbdgTbwphKUYW1w,0.0047005848587193585,Haunted History Tours,New Orleans,LA,4.0,1287
8YDJraW_cg5IPTPisPfB-A,0.004223292131557115,City Museum,Saint Louis,MO,4.5,1366
rSYyGcZZziJLsqKl5hMcDw,0.003921805754654332,Circus Circus Reno,Reno,NV,2.5,1249
GmXC3CBu172Bkb0c6RnO7w,0.00380265893715568,Restaurant R'evolution,New Orleans,LA,4.5,1210
4i4kmYm9wgSNyF1b6gKphg,0.003772912540464618,Nashville International Airport - BNA,Nashville,TN,3.5,949
BnzAXu_3S2CRQOG_vMIYRw,0.003670464452667095,Sands Regency,Reno,NV,2.0,921
X8hwEPRoRcLjbKVlVt1b1g,0.0036112730406232057,Saint Louis Zoo,St Louis,MO,4.5,866
SwBhaxfQPbyhsi0QHUAN0A,0.0035028381775428982,Seminole Hard Rock Hotel & Casino Tampa,Tampa,FL,2.5,739
JvawJ9bSr22xn4R9oLvl_w,0.0034752881405026126,Desire Oyster Bar,New Orleans,LA,4.0,1084
J6ZSgoKCLBDMMzuhM-aYGg,0.0033432875894211602,Eldorado Resort Casino,Reno,NV,3.0,934
H41S-qS3NOUJSbIqWTuyIA,0.0032781011942067395,Paddlewheeler Creole Queen,New Orleans,LA,4.0,713
