business_id,popularity_visits,unique_users,repeat_user_rate,stability_cv
4a5f9446f964a520e0bf1fe3,1,1,0.0,0.0
4aa37fb3f964a520f64320e3,57,56,0.017857142857142856,0.48840038270438796
4abcec53f964a520b98720e3,1,1,0.0,0.0
4abdc1c7f964a5206d8b20e3,8,6,0.16666666666666666,0.0
4abe4502f964a520558c20e3,228,221,0.027149321266968326,0.7193021355945696
4abe5714f964a520d68c20e3,4,4,0.0,0.0
4abf8c03f964a520079120e3,320,246,0.17886178861788618,0.6605309874221099
4ac4bb54f964a520e49e20e3,17,16,0.0625,0.3104698017127927
4ac51183f964a52045a020e3,3,3,0.0,0.0
4ac51183f964a52046a020e3,2,2,0.0,0.0
4ac51183f964a52048a020e3,44,38,0.10526315789473684,0.6201839236658377
4ac51183f964a52049a020e3,24,22,0.09090909090909091,0.3581610266174341
4ac51183f964a5204ca020e3,1,1,0.0,0.0
4ac518b4f964a52064a020e3,4,2,0.5,0.0
4ac518b4f964a52065a020e3,3,3,0.0,0.0
4ac518b4f964a52066a020e3,1,1,0.0,0.0
4ac518b4f964a52067a020e3,6,4,0.25,0.0
4ac518b4f964a5206ba020e3,8,7,0.14285714285714285,0.33071891388307384
4ac518b4f964a5206fa020e3,8,8,0.0,0.0
4ac518b4f964a52071a020e3,4,4,0.0,0.0
4ac518b4f964a52072a020e3,22,16,0.125,0.41122210987382257
4ac518b4f964a52073a020e3,1,1,0.0,0.0
4ac518b4f964a52075a020e3,15,10,0.3,0.4972652484064488
4ac518b4f964a52076a020e3,14,11,0.2727272727272727,0.367006645104718
4ac518b4f964a5207aa020e3,8,3,0.3333333333333333,0.0
4ac518b4f964a5207ba020e3,7,7,0.0,0.0
4ac518b4f964a5207fa020e3,12,12,0.0,0.375
4ac518b4f964a52080a020e3,13,4,0.5,1.1083331479586387
4ac518b4f964a52082a020e3,1,1,0.0,0.0
4ac518b4f964a52083a020e3,6,6,0.0,0.0
4ac518b4f964a52084a020e3,2,2,0.0,0.0
4ac518b5f964a52088a020e3,15,7,0.5714285714285714,0.921007040284692
4ac518b5f964a5208aa020e3,8,4,0.75,0.34232659844072877
4ac518b5f964a5208ba020e3,20,12,0.4166666666666667,0.5700877125495689
4ac518b5f964a5208ca020e3,15,11,0.2727272727272727,0.4944132324730443
4ac518b5f964a5208fa020e3,3,3,0.0,0.0
4ac518b5f964a52090a020e3,7,4,0.5,0.3912303982179758
4ac518b5f964a52092a020e3,1,1,0.0,0.0
4ac518b5f964a52095a020e3,3,3,0.0,0.0
4ac518b5f964a52097a020e3,9,7,0.14285714285714285,0.5879447357921312
4ac518b5f964a5209da020e3,2,1,1.0,0.0
4ac518b5f964a5209fa020e3,3,3,0.0,0.0
4ac518b5f964a520a0a020e3,17,11,0.36363636363636365,0.4820898373782057
4ac518b5f964a520a3a020e3,4,4,0.0,0.0
4ac518b5f964a520a6a020e3,1,1,0.0,0.0
4ac518b5f964a520aca020e3,2,2,0.0,0.0
4ac518b5f964a520aea020e3,6,5,0.2,0.0
4ac518b5f964a520b0a020e3,3,2,0.5,0.0
4ac518b5f964a520b5a020e3,4,4,0.0,0.0
4ac518b5f964a520b9a020e3,24,10,0.5,0.7905694150420949
4ac518b5f964a520baa020e3,18,5,0.2,0.6123724356957945
4ac518b5f964a520bda020e3,3,1,1.0,0.0
4ac518b5f964a520bfa020e3,3,3,0.0,0.0
4ac518b5f964a520c1a020e3,18,10,0.4,0.5318160234783104
4ac518b5f964a520c2a020e3,20,18,0.1111111111111111,1.0087120500916007
4ac518b5f964a520c5a020e3,57,34,0.23529411764705882,1.030927027053663
4ac518b5f964a520c6a020e3,1,1,0.0,0.0
4ac518b5f964a520c7a020e3,1,1,0.0,0.0
4ac518b6f964a52002a120e3,13,8,0.25,0.5029498781008469
4ac518b6f964a52003a120e3,1,1,0.0,0.0
4ac518b6f964a52006a120e3,3,3,0.0,0.0
4ac518b6f964a52009a120e3,5,3,0.6666666666666666,0.0
4ac518b6f964a5200ca120e3,4,4,0.0,0.0
4ac518b6f964a5200ea120e3,5,5,0.0,0.0
4ac518b6f964a5200fa120e3,6,2,0.5,0.0
4ac518b6f964a52019a120e3,1,1,0.0,0.0
4ac518b6f964a5201ba120e3,2,2,0.0,0.0
4ac518b6f964a5201ca120e3,7,2,1.0,0.24743582965269678
4ac518b6f964a52026a120e3,7,7,0.0,0.0
4ac518b6f964a52028a120e3,8,6,0.16666666666666666,0.6123724356957946
4ac518b6f964a520d1a020e3,1,1,0.0,0.0
4ac518b6f964a520d2a020e3,1,1,0.0,0.0
4ac518b6f964a520d3a020e3,1,1,0.0,0.0
4ac518b6f964a520d8a020e3,2,2,0.0,0.0
4ac518b6f964a520d9a020e3,27,20,0.2,0.5006169033808359
4ac518b6f964a520daa020e3,3,2,0.5,0.0
4ac518b6f964a520dea020e3,15,9,0.2222222222222222,0.7899367063252599
4ac518b6f964a520e0a020e3,4,4,0.0,0.0
4ac518b6f964a520e1a020e3,10,7,0.2857142857142857,0.5
4ac518b6f964a520e3a020e3,7,5,0.2,0.34992710611188255
4ac518b6f964a520e4a020e3,4,2,0.5,0.0
4ac518b6f964a520e5a020e3,40,33,0.18181818181818182,0.9199750902424841
4ac518b6f964a520eca020e3,1,1,0.0,0.0
4ac518b6f964a520eda020e3,6,6,0.0,0.0
4ac518b6f964a520f2a020e3,7,6,0.16666666666666666,0.34992710611188255
4ac518b6f964a520f7a020e3,1,1,0.0,0.0
4ac518b6f964a520faa020e3,2,2,0.0,0.0
4ac518b6f964a520fba020e3,1,1,0.0,0.0
4ac518b6f964a520fca020e3,4,2,0.5,0.0
4ac518b6f964a520ffa020e3,10,2,0.5,1.131370849898476
4ac518b7f964a5202ea120e3,2,2,0.0,0.0
4ac518b7f964a5203ca120e3,1,1,0.0,0.0
4ac518b7f964a5203da120e3,2,1,1.0,0.0
4ac518b7f964a52040a120e3,1,1,0.0,0.0
4ac518b7f964a52046a120e3,1,1,0.0,0.0
4ac518b7f964a52048a120e3,1,1,0.0,0.0
4ac518b7f964a52055a120e3,4,3,0.3333333333333333,0.0
4ac518b7f964a52057a120e3,2,2,0.0,0.0
