business_id,n_reviews,n_unique_users,business_leisure_ratio,seasonal_cv,multi_stay_rate,venue_stability_cv,traveler_concentration,review_velocity,revisit_rate,geographic_diversity,name,city,state,stars,review_count,subcategory
96myvjjiQW8ZFp4LrE1gXQ,232,228,0.5603448275862069,0.29120721671279803,0.017543859649122806,0.6111657574145235,0.016938898971566863,33.6394291680996,0.017543859649122806,0.22604649516751274,Westward Look Wyndham Grand Resort and Spa,Tucson,AZ,3.0,228,Hotel
8R-ObAoppiDpucPYjyncUw,281,276,0.6014234875444839,0.3466750812110718,0.018115942028985508,0.8554753534746408,0.017471246583114164,50.28219271193032,0.018115942028985508,0.5780529967851918,Embassy Suites by Hilton New Orleans,New Orleans,LA,2.5,276,Hotel
Gf6VxoCCxdbJkInNGH6l2A,172,171,0.5581395348837209,0.31670162048328127,0.005847953216374269,0.752281548619748,0.0057799537603699935,23.132599410589368,0.005847953216374269,0.24676160491617274,La Quinta by Wyndham New Orleans Downtown,New Orleans,LA,3.0,171,Hotel
XScJI9exHgC0u_c3vmm1vQ,714,691,0.5686274509803921,0.209609854477259,0.02604920405209841,0.7083144317693466,0.031521725911782816,83.7793152210386,0.02604920405209841,0.6369980745131931,Harrah's New Orleans,New Orleans,LA,3.5,691,Hotel
8A5LSwsKK5vXDH1M3_Tf1w,1449,1383,0.5707384403036577,0.17902292096907876,0.044107013738250184,0.7639409945102966,0.04367936198550182,236.4670828626235,0.044107013738250184,0.2254488835538545,"The Ritz-Carlton Bacara, Santa Barbara",Santa Barbara,CA,3.5,1383,Resort
UjOq8dBVNv9weHrVDqm3kQ,841,825,0.5945303210463734,0.18934087324007653,0.019393939393939394,0.6373880797986137,0.018656001153028567,116.36326836780033,0.019393939393939394,0.22338440401080004,Hotel Milo Santa Barbara,Santa Barbara,CA,3.0,825,Hotel
PY9GRfzr4nTZeINf346QOw,2715,2486,0.5907918968692449,0.1493649801669796,0.07160096540627514,0.7165211491653707,0.07941562992166817,420.0262733921839,0.07160096540627514,0.40706361351385534,Peppermill Reno,Reno,NV,4.0,2486,Hotel
ld_H5-FpZOWm_tkzwkPYQQ,1620,1534,0.587037037037037,0.17856168359207922,0.04432855280312908,0.6502220167173403,0.05117662208057694,253.08600675032568,0.04432855280312908,0.47173075895992783,Silver Legacy Resort Casino,Reno,NV,3.0,1534,Hotel
8YDJraW_cg5IPTPisPfB-A,1380,1366,0.5601449275362319,0.3440106945507452,0.00951683748169839,0.6838594434993562,0.010054745687185784,184.2331936568118,0.00951683748169839,0.5727864350970386,City Museum,Saint Louis,MO,4.5,1366,Hotel
4EGJGPoqxyLZzVcO4feBXg,115,112,0.6695652173913044,0.3734807686029361,0.026785714285714284,1.3187466123555518,0.02538819875776399,0.7970811505604761,0.026785714285714284,0.42200163469449165,Millennium Hotel St Louis,Saint Louis,MO,2.0,112,Hotel
4WIsdEah3rDcJwlWbx9P0A,159,155,0.5408805031446541,0.4331037820754884,0.01935483870967742,0.8829913928364871,0.024751470886589688,26.072290558930586,0.01935483870967742,0.3235043436600196,SureStay Plus Hotel by Best Western Reno Airport,Reno,NV,3.0,155,Hotel
