business_id,name,lat,lon,category,country_code
4bb2bf2314cfd13a5e6515ab,Deli / Bodega,35.699978,139.813415,Deli / Bodega,JP
4bb2c8394019a593815337b8,Japanese Restaurant,35.682188,139.626255,Japanese Restaurant,JP
4bb2cb7142959c747757212c,Japanese Restaurant,35.712156,139.783748,Japanese Restaurant,JP
4bb2d399715eef3bb6c385bb,Sporting Goods Shop,35.664179,139.702727,Sporting Goods Shop,JP
4bb2d57635f0c9b67ad0bb83,Japanese Restaurant,35.669678,139.771457,Japanese Restaurant,JP
4bb2d60e42959c743760212c,Japanese Restaurant,35.686888,139.826309,Japanese Restaurant,JP
4bb2fb574019a593b47837b8,Art Gallery,35.694448,139.766181,Art Gallery,JP
4bb31daea32876b0a04f01fe,Shoe Store,35.601218,139.467575,Shoe Store,JP
4bb3450714cfd13a3aca15ab,Sake Bar,35.642728,139.699008,Sake Bar,JP
4bb348774019a593d0b437b8,Convenience Store,35.708335,139.760456,Convenience Store,JP
4bb365a44019a59390d937b8,Bar,35.694546,139.702602,Bar,JP
4bb4042c49bdc9b67f740c10,Grocery Store,35.730981,139.492507,Grocery Store,JP
4bb41fac737d76b04d2c3b7c,Ramen /  Noodle House,35.693894,139.763963,Ramen /  Noodle House,JP
4bb4264d0cbcef3b9bc8582a,Caf��,35.701808,139.665349,Caf��,JP
4bb42875bd4b9c74c97032f5,Italian Restaurant,35.691773,139.759634,Italian Restaurant,JP
4bb444a89af3b713a8238c28,Bar,35.647404,139.748555,Bar,JP
4bb44bc2737d76b02c4c3b7c,School,35.654977,139.667773,School,JP
4bb45310643cd13aa69a395c,Fast Food Restaurant,35.641919,139.748109,Fast Food Restaurant,JP
4bb472b60cbcef3b6ff8582a,Record Shop,35.660661,139.668396,Record Shop,JP
4bb489d3c4d8b713ce1a2b81,Japanese Restaurant,35.671132,139.705126,Japanese Restaurant,JP
4bb49ebc695876b0814afc3d,Japanese Restaurant,35.712872,139.705128,Japanese Restaurant,JP
4bb52a132f70c9b637d78330,Hotel,35.669064,139.759939,Hotel,JP
4bb56c2e941ad13aab421ee3,Diner,35.611743,139.638024,Diner,JP
4bb57805ef159c74f9d474f7,Chinese Restaurant,35.667545,139.754999,Chinese Restaurant,JP
4bb5b61c2ea19521b3b5aa2f,Caf��,35.81478,139.586948,Caf��,JP
4bb5c4342ea1952144beaa2f,Italian Restaurant,35.698329,139.756441,Italian Restaurant,JP
4bb5c539f562ef3beb3c2f97,Convenience Store,35.701847,139.561729,Convenience Store,JP
4bb6005f941ad13a36bd1ee3,Restaurant,35.649729,139.558607,Restaurant,JP
4bb610cbf562ef3b9a8f2f97,Harbor / Marina,35.600334,139.742532,Harbor / Marina,JP
4bb62a65941ad13ab1fc1ee3,Police Station,35.713342,139.711155,Police Station,JP
4bb6ad692ea19521af1cac2f,Italian Restaurant,35.687888,139.699026,Italian Restaurant,JP
4bb6b9016edc76b06771311c,Fast Food Restaurant,35.697168,139.815209,Fast Food Restaurant,JP
4bb6bbcd6edc76b0cb75311c,French Restaurant,35.687361,139.737913,French Restaurant,JP
4bb6bd74941ad13accf51fe3,Chinese Restaurant,35.692837,139.702256,Chinese Restaurant,JP
4bb6c02ef562ef3b0db53097,Chinese Restaurant,35.816129,139.588026,Chinese Restaurant,JP
